,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
268,24,https://www.twoinchbrush.com/images/painting24.png,by the sea,21,8,13,https://www.youtube.com/embed/8thhbtk6wwc,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1
270,27,https://www.twoinchbrush.com/images/painting27.png,blue winter,21,10,3,https://www.youtube.com/embed/lir0gs0szy0,"[midnight black, prussian blue, titanium white]","[#000000, #021e44, #ffffff]",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
271,28,https://www.twoinchbrush.com/images/painting28.png,desert glow,21,11,9,https://www.youtube.com/embed/qyncjfl hmu,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, phthalo blue, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1
273,30,https://www.twoinchbrush.com/images/painting30.png,florida's glory,21,13,11,https://www.youtube.com/embed/hqc5spn9xhc,"[alizarin crimson, cadmium yellow, dark sienna, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
274,14,https://www.twoinchbrush.com/images/painting14.png,autumn images,22,1,11,https://www.youtube.com/embed/hmx34am6rfg,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian red, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #cd5c5c, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1
276,16,https://www.twoinchbrush.com/images/painting16.png,around the bend,22,3,14,https://www.youtube.com/embed/kl5x3icovvw,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
278,5,https://www.twoinchbrush.com/images/painting5.png,russet winter,22,5,9,https://www.youtube.com/embed/ae4nid1p-t0,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
283,10,https://www.twoinchbrush.com/images/painting10.png,wintertime blues,22,10,7,https://www.youtube.com/embed/dbmjvm4il2q,"[alizarin crimson, dark sienna, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #000000, #0c0040, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1
287,295,https://www.twoinchbrush.com/images/painting295.png,frosty winter morn,23,1,8,https://www.youtube.com/embed/1-9 enmbquw,"[alizarin crimson, cadmium yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #ffec00, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15]",0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1
290,298,https://www.twoinchbrush.com/images/painting298.png,reflections of gold,23,4,10,https://www.youtube.com/embed/8f9ccnqj 1y,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1
293,301,https://www.twoinchbrush.com/images/painting301.png,at dawn's light,23,7,9,https://www.youtube.com/embed/hfdtxqeznik,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
297,305,https://www.twoinchbrush.com/images/painting305.png,frozen beauty in vignette,23,11,9,https://www.youtube.com/embed/h15kv1wbdg4,"[bright red, dark sienna, midnight black, phthalo blue, phthalo green, prussian blue, titanium white, van dyke brown, yellow ochre]","[#db0000, #5f2e1f, #000000, #0c0040, #102e3c, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0
298,306,https://www.twoinchbrush.com/images/painting306.png,crimson tide,23,12,8,https://www.youtube.com/embed/y7sdu4i6fco,"[alizarin crimson, cadmium yellow, dark sienna, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1
301,309,https://www.twoinchbrush.com/images/painting309.png,wayside pond,24,2,11,https://www.youtube.com/embed/fpw2fwk4ioo,"[alizarin crimson, black gesso, bright red, dark sienna, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #5f2e1f, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
302,310,https://www.twoinchbrush.com/images/painting310.png,teton winter,24,3,6,https://www.youtube.com/embed/i4h6tc4cpjy,"[alizarin crimson, midnight black, phthalo blue, prussian blue, sap green, titanium white]","[#4e1500, #000000, #0c0040, #021e44, #0a3410, #ffffff]",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1
303,311,https://www.twoinchbrush.com/images/painting311.png,little home in the meadow,24,4,12,https://www.youtube.com/embed/nu1zv93n-ki,"[alizarin crimson, black gesso, bright red, cadmium yellow, indian yellow, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #ffb800, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff, #c79b00]",1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1
304,312,https://www.twoinchbrush.com/images/painting312.png,a pretty autumn day,24,5,13,https://www.youtube.com/embed/hwedds3p7xi,"[alizarin crimson, black gesso, bright red, cadmium yellow, indian yellow, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #ffb800, #ffffff, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #c79b00]",1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
306,314,https://www.twoinchbrush.com/images/painting314.png,back-country path,24,7,11,https://www.youtube.com/embed/2inmoqb1pe8,"[alizarin crimson, black gesso, bright red, cadmium yellow, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #c79b00]",1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1
309,317,https://www.twoinchbrush.com/images/painting317.png,rowboat on the beach,24,10,8,https://www.youtube.com/embed/hfvhxovg43w,"[alizarin crimson, cadmium yellow, midnight black, phthalo blue, phthalo green, sap green, titanium white, yellow ochre]","[#4e1500, #ffec00, #000000, #0c0040, #102e3c, #0a3410, #ffffff, #c79b00]",0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1
310,318,https://www.twoinchbrush.com/images/painting318.png,portrait of winter,24,11,5,https://www.youtube.com/embed/jlniugoupoa,"[alizarin crimson, midnight black, phthalo blue, prussian blue, titanium white]","[#4e1500, #000000, #0c0040, #021e44, #ffffff]",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
312,320,https://www.twoinchbrush.com/images/painting320.png,snowbound cabin,24,13,8,https://www.youtube.com/embed/obslzwxmdak,"[alizarin crimson, black gesso, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white]","[#4e1500, #000000, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff]",1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1
314,322,https://www.twoinchbrush.com/images/painting322.png,enchanted falls oval,25,2,6,https://www.youtube.com/embed/hklpkq0lska,"[alizarin crimson, black gesso, indian yellow, sap green, titanium white, yellow ochre]","[#4e1500, #000000, #ffb800, #0a3410, #ffffff, #c79b00]",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
315,323,https://www.twoinchbrush.com/images/painting323.png,not quite spring,25,3,9,https://www.youtube.com/embed/n u6x7leytm,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, midnight black, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #ffec00, #5f2e1f, #000000, #021e44, #ffffff, #221b15, #c79b00]",1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
322,330,https://www.twoinchbrush.com/images/painting330.png,just before the storm,25,10,8,https://www.youtube.com/embed/rh-jkrmrmoa,"[alizarin crimson, cadmium yellow, dark sienna, midnight black, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #ffec00, #5f2e1f, #000000, #021e44, #0a3410, #ffffff, #221b15]",0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1
326,334,https://www.twoinchbrush.com/images/painting334.png,in the stillness of morning,26,1,10,https://www.youtube.com/embed/5rfga1 ijpw,"[alizarin crimson, cadmium yellow, dark sienna, indian yellow, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #5f2e1f, #ffb800, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1
327,335,https://www.twoinchbrush.com/images/painting335.png,delightful meadow home,26,2,9,https://www.youtube.com/embed/twoinh2usos,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, prussian blue, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #021e44, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1
331,339,https://www.twoinchbrush.com/images/painting339.png,an arctic winter day,26,6,6,https://www.youtube.com/embed/9bhwlbjd95c,"[alizarin crimson, dark sienna, midnight black, prussian blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #000000, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
332,340,https://www.twoinchbrush.com/images/painting340.png,snow birch,26,7,5,https://www.youtube.com/embed/wkeemviovrm,"[black gesso, indian yellow, phthalo blue, prussian blue, titanium white]","[#000000, #ffb800, #0c0040, #021e44, #ffffff]",1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
336,344,https://www.twoinchbrush.com/images/painting344.png,storm's a comin,26,11,10,https://www.youtube.com/embed/ehd9u-lo2wc,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #102e3c, #ffffff, #221b15]",1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
338,346,https://www.twoinchbrush.com/images/painting346.png,evening at the falls,26,13,7,https://www.youtube.com/embed/rulxvcpgpqw,"[black gesso, cadmium yellow, liquid clear, midnight black, prussian blue, sap green, titanium white]","[#000000, #ffec00, #ffffff, #000000, #021e44, #0a3410, #ffffff]",1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0
339,347,https://www.twoinchbrush.com/images/painting347.png,twilight beauty,27,1,11,https://www.youtube.com/embed/0mjqzzewyxs,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, titanium white, van dyke brown]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #ffffff, #221b15]",1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1
340,348,https://www.twoinchbrush.com/images/painting348.png,angler's haven,27,2,15,https://www.youtube.com/embed/xlwfcxz0aiu,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #ffffff, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
341,349,https://www.twoinchbrush.com/images/painting349.png,rustic winter woods,27,3,6,https://www.youtube.com/embed/3q8zi9480lw,"[alizarin crimson, cadmium yellow, indian yellow, midnight black, sap green, titanium white]","[#4e1500, #ffec00, #ffb800, #000000, #0a3410, #ffffff]",0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
343,351,https://www.twoinchbrush.com/images/painting351.png,winter at the farm,27,5,7,https://www.youtube.com/embed/leivnknwz7o,"[alizarin crimson, dark sienna, liquid clear, midnight black, prussian blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #ffffff, #000000, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1
344,352,https://www.twoinchbrush.com/images/painting352.png,daisies at dawn,27,6,8,https://www.youtube.com/embed/ kkzcigocbm,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1
346,354,https://www.twoinchbrush.com/images/painting354.png,daybreak,27,8,7,https://www.youtube.com/embed/crwdctvdmec,"[alizarin crimson, cadmium yellow, dark sienna, midnight black, prussian blue, titanium white, van dyke brown]","[#4e1500, #ffec00, #5f2e1f, #000000, #021e44, #ffffff, #221b15]",0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1
347,355,https://www.twoinchbrush.com/images/painting355.png,island paradise,27,9,12,https://www.youtube.com/embed/cg3xavhaas0,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #102e3c, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1
348,356,https://www.twoinchbrush.com/images/painting356.png,sunlight in the shadows,27,10,7,https://www.youtube.com/embed/xgjq0v2d9me,"[alizarin crimson, black gesso, liquid clear, midnight black, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #ffffff, #000000, #ffffff, #221b15, #c79b00]",1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
349,357,https://www.twoinchbrush.com/images/painting357.png,splendor of a snowy winter,27,11,9,https://www.youtube.com/embed/jdxcoxkodwq,"[alizarin crimson, dark sienna, liquid black, liquid clear, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #000000, #ffffff, #000000, #0c0040, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1
353,361,https://www.twoinchbrush.com/images/painting361.png,a warm winter,28,2,9,https://www.youtube.com/embed/ ttdw3ynxuo,"[alizarin crimson, bright red, cadmium yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #000000, #0c0040, #021e44, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1
355,363,https://www.twoinchbrush.com/images/painting363.png,golden rays of sunshine,28,4,8,https://www.youtube.com/embed/zxj3xldnxo0,"[alizarin crimson, black gesso, indian yellow, liquid clear, phthalo blue, prussian blue, sap green, titanium white]","[#4e1500, #000000, #ffb800, #ffffff, #0c0040, #021e44, #0a3410, #ffffff]",1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
356,364,https://www.twoinchbrush.com/images/painting364.png,the magic of fall,28,5,10,https://www.youtube.com/embed/bsm3fmeyj20,"[alizarin crimson, bright red, cadmium yellow, indian yellow, liquid clear, midnight black, phthalo blue, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #ffffff, #000000, #0c0040, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1
360,368,https://www.twoinchbrush.com/images/painting368.png,winter's grace,28,9,4,https://www.youtube.com/embed/mxj2on9wyvy,"[midnight black, phthalo blue, prussian blue, titanium white]","[#000000, #0c0040, #021e44, #ffffff]",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
362,370,https://www.twoinchbrush.com/images/painting370.png,tranquil seas,28,11,11,https://www.youtube.com/embed/kn1dp yqs-a,"[alizarin crimson, black gesso, bright red, cadmium yellow, indian yellow, midnight black, phthalo blue, phthalo green, sap green, titanium white, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #ffb800, #000000, #0c0040, #102e3c, #0a3410, #ffffff, #c79b00]",1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1
364,372,https://www.twoinchbrush.com/images/painting372.png,home before nightfall,28,13,8,https://www.youtube.com/embed/22siidvyjem,"[alizarin crimson, bright red, cadmium yellow, midnight black, phthalo blue, sap green, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #000000, #0c0040, #0a3410, #ffffff, #c79b00]",0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
366,374,https://www.twoinchbrush.com/images/painting374.png,autumn oval,29,2,10,https://www.youtube.com/embed/2xnidinwot0,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
370,378,https://www.twoinchbrush.com/images/painting378.png,mountain lake falls,29,6,9,https://www.youtube.com/embed/dnep3hohsdi,"[alizarin crimson, cadmium yellow, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #ffec00, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15]",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1
371,379,https://www.twoinchbrush.com/images/painting379.png,cypress creek,29,7,11,https://www.youtube.com/embed/tnb2cxkkuwm,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
373,381,https://www.twoinchbrush.com/images/painting381.png,storm on the horizon,29,9,9,https://www.youtube.com/embed/pa 2pauhbaq,"[alizarin crimson, bright red, dark sienna, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #5f2e1f, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1
374,382,https://www.twoinchbrush.com/images/painting382.png,pot o' posies,29,10,6,https://www.youtube.com/embed/2zv s uvovq,"[alizarin crimson, black gesso, bright red, midnight black, prussian blue, sap green]","[#4e1500, #000000, #db0000, #000000, #021e44, #0a3410]",1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
376,384,https://www.twoinchbrush.com/images/painting384.png,aurora's dance,29,12,9,https://www.youtube.com/embed/irmsb9vf7gm,"[alizarin crimson, dark sienna, liquid clear, midnight black, phthalo blue, phthalo green, prussian blue, titanium white, van dyke brown]","[#4e1500, #5f2e1f, #ffffff, #000000, #0c0040, #102e3c, #021e44, #ffffff, #221b15]",0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1
379,387,https://www.twoinchbrush.com/images/painting387.png,woodgrain view,30,2,13,https://www.youtube.com/embed/fcx1yuusf3o,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
380,388,https://www.twoinchbrush.com/images/painting388.png,winter's peace,30,3,10,https://www.youtube.com/embed/xzv3iiwi1wo,"[alizarin crimson, bright red, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1
386,394,https://www.twoinchbrush.com/images/painting394.png,mountains of grace,30,9,11,https://www.youtube.com/embed/nxlu q0sr7c,"[alizarin crimson, bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1
387,395,https://www.twoinchbrush.com/images/painting395.png,seaside harmony,30,10,12,https://www.youtube.com/embed/cy6sgfs209e,"[alizarin crimson, black gesso, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #000000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15]",1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1
398,406,https://www.twoinchbrush.com/images/painting406.png,trail's end,31,8,10,https://www.youtube.com/embed/xwqrp-wilgc,"[alizarin crimson, black gesso, dark sienna, liquid clear, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #5f2e1f, #ffffff, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
400,408,https://www.twoinchbrush.com/images/painting408.png,balmy beach,31,10,13,https://www.youtube.com/embed/kmgd6r6c4ve,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, liquid clear, midnight black, phthalo blue, phthalo green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #ffffff, #000000, #0c0040, #102e3c, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1
