,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
50,253,https://www.twoinchbrush.com/images/painting253.png,northwest majesty,4,11,10,https://www.youtube.com/embed/9du6bunvd g,"[alizarin crimson, bright red, burnt umber, cadmium yellow, indian yellow, liquid black, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #db0000, #8a3324, #ffec00, #ffb800, #000000, #021e44, #0a3410, #ffffff, #221b15]",0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
52,255,https://www.twoinchbrush.com/images/painting255.png,mountain challenge,4,13,10,https://www.youtube.com/embed/o2cjla wgik,"[alizarin crimson, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
54,231,https://www.twoinchbrush.com/images/painting231.png,twilight meadow,5,2,12,https://www.youtube.com/embed/6evqnloo7bw,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, phthalo green, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #102e3c, #0a3410, #ffffff, #221b15, #c79b00]",1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
55,232,https://www.twoinchbrush.com/images/painting232.png,mountain blossoms,5,3,5,https://www.youtube.com/embed/uvhhstjajzc,"[alizarin crimson, liquid black, phthalo blue, phthalo green, titanium white]","[#4e1500, #000000, #0c0040, #102e3c, #ffffff]",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
56,233,https://www.twoinchbrush.com/images/painting233.png,winter stillness,5,4,7,https://www.youtube.com/embed/qg9c1sqdrko,"[alizarin crimson, burnt umber, indian yellow, phthalo blue, sap green, titanium white, van dyke brown]","[#4e1500, #8a3324, #ffb800, #0c0040, #0a3410, #ffffff, #221b15]",0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
58,235,https://www.twoinchbrush.com/images/painting235.png,ocean sunrise,5,6,6,https://www.youtube.com/embed/u0bz6tnuk1q,"[alizarin crimson, indian yellow, liquid black, prussian blue, titanium white, van dyke brown]","[#4e1500, #ffb800, #000000, #021e44, #ffffff, #221b15]",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1
60,237,https://www.twoinchbrush.com/images/painting237.png,arizona splendor,5,8,9,https://www.youtube.com/embed/spfwch2616s,"[alizarin crimson, burnt umber, cadmium yellow, indian yellow, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #8a3324, #ffec00, #ffb800, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
61,238,https://www.twoinchbrush.com/images/painting238.png,anatomy of a wave,5,9,6,https://www.youtube.com/embed/dfqlu6eqrbo,"[alizarin crimson, cadmium yellow, liquid clear, phthalo blue, phthalo green, titanium white]","[#4e1500, #ffec00, #ffffff, #0c0040, #102e3c, #ffffff]",0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1
62,239,https://www.twoinchbrush.com/images/painting239.png,the windmill,5,10,11,https://www.youtube.com/embed/xj8xstskbuk,"[alizarin crimson, black gesso, bright red, burnt umber, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
63,240,https://www.twoinchbrush.com/images/painting240.png,autumn glory,5,11,8,https://www.youtube.com/embed/ytzlm t0rmy,"[alizarin crimson, burnt umber, cadmium yellow, indian yellow, prussian blue, sap green, titanium white, van dyke brown]","[#4e1500, #8a3324, #ffec00, #ffb800, #021e44, #0a3410, #ffffff, #221b15]",0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1
