,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
46,249,https://www.twoinchbrush.com/images/painting249.png,Cabin in the Woods,4,7,11,https://www.youtube.com/embed/81QKellPA70,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
47,250,https://www.twoinchbrush.com/images/painting250.png,Wetlands,4,8,10,https://www.youtube.com/embed/2FpVyGanPwM,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
50,253,https://www.twoinchbrush.com/images/painting253.png,Northwest Majesty,4,11,10,https://www.youtube.com/embed/9DU6bunvD_g,"[""Alizarin Crimson"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Liquid Black"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#000000"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15""]",0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
52,255,https://www.twoinchbrush.com/images/painting255.png,Mountain Challenge,4,13,10,https://www.youtube.com/embed/o2cjLA_wgIk,"[""Alizarin Crimson"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
54,231,https://www.twoinchbrush.com/images/painting231.png,Twilight Meadow,5,2,12,https://www.youtube.com/embed/6evqNlOO7Bw,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#102E3C"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
55,232,https://www.twoinchbrush.com/images/painting232.png,Mountain Blossoms,5,3,5,https://www.youtube.com/embed/UVhhStJAJZc,"[""Alizarin Crimson"", ""Liquid Black"", ""Phthalo Blue"", ""Phthalo Green"", ""Titanium White""]","[""#4E1500"", ""#000000"", ""#0C0040"", ""#102E3C"", ""#FFFFFF""]",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
56,233,https://www.twoinchbrush.com/images/painting233.png,Winter Stillness,5,4,7,https://www.youtube.com/embed/qg9c1SqdRko,"[""Alizarin Crimson"", ""Burnt Umber"", ""Indian Yellow"", ""Phthalo Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#8A3324"", ""#FFB800"", ""#0C0040"", ""#0A3410"", ""#FFFFFF"", ""#221B15""]",0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
58,235,https://www.twoinchbrush.com/images/painting235.png,Ocean Sunrise,5,6,6,https://www.youtube.com/embed/u0Bz6TNUK1Q,"[""Alizarin Crimson"", ""Indian Yellow"", ""Liquid Black"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#FFB800"", ""#000000"", ""#021E44"", ""#FFFFFF"", ""#221B15""]",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1
60,237,https://www.twoinchbrush.com/images/painting237.png,Arizona Splendor,5,8,9,https://www.youtube.com/embed/spFwCh2616s,"[""Alizarin Crimson"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
61,238,https://www.twoinchbrush.com/images/painting238.png,Anatomy of a Wave,5,9,6,https://www.youtube.com/embed/DFQlu6eqrBo,"[""Alizarin Crimson"", ""Cadmium Yellow"", ""Liquid Clear"", ""Phthalo Blue"", ""Phthalo Green"", ""Titanium White""]","[""#4E1500"", ""#FFEC00"", ""#FFFFFF"", ""#0C0040"", ""#102E3C"", ""#FFFFFF""]",0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1
